Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,2,1:00,4,0.0,0.0,333.93,12,1.0,0.083333,404.43,41,1.0,0.02439,332.3,25,0.0,0.0,333.72
August,2,1:30,2,0.0,0.0,249.88,7,0.0,0.0,297.13,36,1.0,0.027778,332.6,17,0.0,0.0,330.27
August,2,2:00,1,0.0,0.0,273.52,7,0.0,0.0,323.98,21,1.0,0.047619,315.43,13,0.0,0.0,328.33
August,2,2:30,2,0.0,0.0,288.64,4,0.0,0.0,338.64,15,0.0,0.0,345.94,7,0.0,0.0,326.98
August,2,3:00,2,0.0,0.0,315.81,4,0.0,0.0,329.98,12,1.0,0.083333,334.33,3,0.0,0.0,469.36
August,2,3:30,1,0.0,0.0,182.59,4,0.0,0.0,166.25,13,0.0,0.0,285.46,1,0.0,0.0,249.64
August,2,4:00,2,0.0,0.0,249.04,3,0.0,0.0,314.27,11,0.0,0.0,373.28,1,0.0,0.0,268.93
August,2,4:30,1,0.0,0.0,186.92,3,0.0,0.0,331.33,12,0.0,0.0,313.48,1,0.0,0.0,348.92
August,2,5:00,1,0.0,0.0,416.54,4,0.0,0.0,272.74,12,0.0,0.0,429.14,1,0.0,0.0,230.49
August,2,5:30,1,0.0,0.0,191.12,3,0.0,0.0,279.5,14,0.0,0.0,307.48,1,0.0,0.0,382.75
August,2,6:00,2,0.0,0.0,270.31,4,0.0,0.0,355.77,20,0.0,0.0,292.67,9,0.0,0.0,259.77
August,2,6:30,3,0.0,0.0,306.44,9,2.0,0.222222,329.84,37,0.0,0.0,274.91,14,1.0,0.071429,291.84
August,2,7:00,6,0.0,0.0,240.69,13,0.0,0.0,300.88,65,1.0,0.015385,272.54,29,1.0,0.034483,279.74
August,2,7:30,12,0.0,0.0,312.56,22,0.0,0.0,341.2,108,2.0,0.018519,264.0,46,1.0,0.021739,309.18
August,2,8:00,34,0.0,0.0,250.69,39,0.0,0.0,317.23,190,1.0,0.005263,275.17,79,0.0,0.0,301.76
August,2,8:30,56,0.0,0.0,288.46,55,1.0,0.018182,335.51,269,3.0,0.011152,301.78,119,1.0,0.008403,293.03
August,2,9:00,81,0.0,0.0,280.89,145,1.0,0.006897,304.5,384,3.0,0.007812,296.96,175,3.0,0.017143,306.64
August,2,9:30,97,1.0,0.010309,276.59,196,1.0,0.005102,329.59,464,15.0,0.032328,317.75,217,5.0,0.023041,292.6
August,2,10:00,121,1.0,0.0052640000000000004,296.25,246,1.0,0.00513,329.61,574,2.0,0.003969,316.99,257,4.0,0.016455,307.12
August,2,10:30,153,1.0,0.003536,295.45,283,5.0,0.018201000000000002,345.89,641,5.0,0.00792,331.82,302,17.0,0.056603,312.42
August,2,11:00,173,0.0,0.0027800000000000004,302.49,327,2.0,0.006174,345.54,705,6.0,0.008348000000000001,332.85,339,7.0,0.020599,322.74
August,2,11:30,174,0.0,0.0027470000000000003,294.57,374,4.0,0.010369,352.63,710,16.0,0.022352,340.36,352,5.0,0.014045000000000002,322.32
August,2,12:00,191,1.0,0.007470999999999999,308.84,380,2.0,0.004894999999999999,345.65,731,11.0,0.014784000000000002,339.88,370,3.0,0.007810999999999999,330.77
August,2,12:30,206,2.0,0.011563,305.41,400,4.0,0.009500000000000001,351.08,734,13.0,0.017436,339.07,381,14.0,0.03637,322.97
August,2,13:00,201,0.0,0.001975,313.65,418,8.0,0.018531000000000002,352.17,717,7.0,0.009552000000000001,343.08,383,12.0,0.030943000000000002,330.07
August,2,13:30,197,0.0,0.0020759999999999997,317.07,444,11.0,0.024027,347.53,723,19.0,0.026046,342.72,382,12.0,0.031031,322.58
August,2,14:00,187,0.0,0.0023480000000000003,318.43,457,13.0,0.027635,353.49,729,15.0,0.02032,345.53,374,6.0,0.015717000000000002,325.49
August,2,14:30,192,0.0,0.002208,315.83,438,7.0,0.015265,361.89,714,7.0,0.009604999999999999,339.97,388,19.0,0.048546,333.27
August,2,15:00,184,0.0,0.0024349999999999997,311.33,441,3.0,0.00607,349.48,675,1.0,0.001444,348.25,366,6.0,0.016126,317.48
August,2,15:30,185,0.0,0.002405,318.11,431,3.0,0.006280999999999999,342.76,660,1.0,0.0015450000000000004,341.5,356,4.0,0.011045,313.89
August,2,16:00,179,0.0,0.002587,332.5,429,1.0,0.0016620000000000003,357.35,634,1.0,0.001732,346.1,343,3.0,0.008662,331.85
August,2,16:30,162,1.0,0.0031729999999999996,295.74,405,1.0,0.0019379999999999996,366.94,593,0.0,0.00037300000000000007,341.2,317,2.0,0.006464,324.28
August,2,17:00,152,2.0,0.010158,315.96,392,1.0,0.0021019999999999997,359.11,552,0.0,0.0006229999999999999,345.84,297,2.0,0.0071010000000000005,327.05
August,2,17:30,130,1.0,0.004692,324.93,369,1.0,0.0024200000000000003,362.93,538,0.0,0.0007169999999999998,343.51,278,0.0,0.0005969999999999999,327.52
August,2,18:00,122,1.0,0.005196999999999999,325.55,335,3.0,0.00894,370.38,505,0.0,0.0009599999999999999,340.19,261,0.0,0.0008310000000000001,327.61
August,2,18:30,101,1.0,0.006901,340.93,308,3.0,0.009987,358.96,451,2.0,0.003652,348.9,230,0.0,0.0013480000000000002,346.93
August,2,19:00,77,0.0,0.0,323.49,271,2.0,0.00807,358.58,414,4.0,0.009076999999999998,342.92,224,1.0,0.005928999999999999,337.66
August,2,19:30,61,0.0,0.0,333.36,240,1.0,0.005333,341.8,365,10.0,0.027137,339.4,195,0.0,0.0021279999999999997,340.99
August,2,20:00,49,1.0,0.017408,302.34,210,5.0,0.025571,349.9,331,5.0,0.015127000000000002,345.43,166,3.0,0.015072000000000002,322.47
August,2,20:30,39,1.0,0.022641,279.79,182,1.0,0.007989,329.37,278,3.0,0.011387999999999999,339.66,156,2.0,0.009821,316.05
August,2,21:00,29,1.0,0.031483,306.62,148,2.0,0.010513999999999999,327.2,235,1.0,0.005510999999999999,340.62,132,5.0,0.034879,319.33
August,2,21:30,22,0.0,0.0,304.02,130,1.0,0.004692,336.28,189,0.0,0.0022909999999999996,338.6,106,1.0,0.006434,328.73
August,2,22:00,15,0.0,0.0,384.4,102,1.0,0.009804,323.46,158,1.0,0.006329,326.72,96,1.0,0.010417,317.42
August,2,22:30,10,0.0,0.0,302.0,81,1.0,0.012346,340.86,134,1.0,0.007463,323.5,78,1.0,0.012821,322.67
August,2,23:00,9,0.0,0.0,347.43,64,1.0,0.015625,305.66,100,0.0,0.0,319.05,64,0.0,0.0,319.0
August,2,23:30,6,0.0,0.0,262.9,47,0.0,0.0,315.75,88,0.0,0.0,318.13,51,1.0,0.019608,298.06
August,3,0:00,3,0.0,0.0,366.44,42,6.0,0.142857,303.95,58,2.0,0.034483,314.79,43,0.0,0.0,302.62
August,3,0:30,3,0.0,0.0,370.64,31,5.0,0.16129,294.38,45,1.0,0.022222,351.67,28,0.0,0.0,296.33
August,3,1:00,3,0.0,0.0,348.19,12,0.0,0.0,380.55,33,1.0,0.030303,305.62,22,0.0,0.0,329.93
August,3,1:30,3,0.0,0.0,395.38,9,0.0,0.0,340.95,29,1.0,0.034483,294.87,17,0.0,0.0,373.42
August,3,2:00,1,0.0,0.0,170.93,6,0.0,0.0,410.72,21,2.0,0.095238,322.65,13,0.0,0.0,348.81
August,3,2:30,1,0.0,0.0,430.16,4,0.0,0.0,309.5,14,1.0,0.071429,322.98,9,1.0,0.111111,337.33
August,3,3:00,1,0.0,0.0,311.64,6,0.0,0.0,311.13,14,2.0,0.142857,331.96,3,0.0,0.0,403.54
August,3,3:30,2,0.0,0.0,390.27,3,0.0,0.0,299.0,9,0.0,0.0,405.59,1,0.0,0.0,220.06
August,3,4:00,2,0.0,0.0,328.55,3,0.0,0.0,290.15,10,0.0,0.0,430.89,1,0.0,0.0,132.77
August,3,4:30,1,0.0,0.0,320.37,3,0.0,0.0,427.53,7,0.0,0.0,375.92,1,0.0,0.0,250.03
August,3,5:00,3,0.0,0.0,194.53,3,0.0,0.0,489.55,10,0.0,0.0,365.36,1,0.0,0.0,354.67
August,3,5:30,2,0.0,0.0,214.21,3,0.0,0.0,316.0,9,0.0,0.0,270.96,1,0.0,0.0,417.29
August,3,6:00,4,0.0,0.0,257.43,4,0.0,0.0,314.71,18,0.0,0.0,281.53,6,0.0,0.0,226.5
August,3,6:30,1,0.0,0.0,291.52,4,0.0,0.0,330.23,27,2.0,0.074074,266.07,12,0.0,0.0,275.19
August,3,7:00,5,0.0,0.0,297.27,9,0.0,0.0,310.83,42,0.0,0.0,282.58,18,0.0,0.0,310.89
August,3,7:30,6,0.0,0.0,357.05,13,1.0,0.076923,318.77,67,1.0,0.014925,269.75,34,1.0,0.029412,304.93
August,3,8:00,12,0.0,0.0,269.12,24,1.0,0.041667,283.97,105,0.0,0.0,280.56,49,1.0,0.020408,296.85
August,3,8:30,16,0.0,0.0,307.14,34,1.0,0.029412,324.73,148,2.0,0.013514,298.87,70,0.0,0.0,317.06
August,3,9:00,21,0.0,0.0,276.53,81,2.0,0.024691,318.48,193,1.0,0.005181,312.12,102,2.0,0.019608,305.87
August,3,9:30,24,0.0,0.0,324.71,97,0.0,0.0,334.13,250,1.0,0.004,299.04,120,1.0,0.008333,287.44
August,3,10:00,27,0.0,0.0,313.1,128,2.0,0.012625,320.29,312,1.0,0.00341,303.07,142,3.0,0.018127,304.87
August,3,10:30,40,0.0,0.0,301.65,144,7.0,0.045611,340.56,360,2.0,0.005333,311.1,172,12.0,0.07258099999999999,324.68
August,3,11:00,37,0.0,0.0,310.86,154,5.0,0.029467999999999998,330.46,383,2.0,0.004833,326.35,186,3.0,0.018505,307.12
August,3,11:30,39,0.0,0.0,320.33,180,7.0,0.041443999999999995,332.65,432,6.0,0.013204,326.21,200,2.0,0.012,313.73
August,3,12:00,58,0.0,0.0,312.44,202,6.0,0.031653,329.33,468,2.0,0.00341,322.74,219,2.0,0.010699,308.1
August,3,12:30,70,1.0,0.011286000000000001,317.26,232,17.0,0.074586,337.87,471,5.0,0.009739000000000001,321.6,219,1.0,0.006131999999999999,304.73
August,3,13:00,86,1.0,0.008628,321.78,266,9.0,0.034594,319.7,485,12.0,0.023804000000000002,336.25,218,3.0,0.015349000000000002,317.49
August,3,13:30,89,1.0,0.008236,310.48,272,12.0,0.044794,325.65,473,20.0,0.041396999999999996,334.08,238,3.0,0.013807,314.71
August,3,14:00,93,0.0,0.0,322.45,297,9.0,0.03067,335.65,476,7.0,0.013807,340.33,230,1.0,0.0056960000000000005,318.68
August,3,14:30,96,1.0,0.007416999999999999,321.49,282,7.0,0.025369,338.98,468,2.0,0.00341,333.25,237,3.0,0.013878000000000001,309.11
August,3,15:00,91,1.0,0.007989,325.74,298,1.0,0.003711,335.39,476,1.0,0.001202,339.4,225,1.0,0.005888999999999999,322.2
August,3,15:30,100,2.0,0.017,313.59,316,5.0,0.015987,332.69,459,1.0,0.0013569999999999997,340.85,242,5.0,0.021793,309.75
August,3,16:00,94,0.0,0.0,318.77,303,5.0,0.016802,334.56,452,2.0,0.0036369999999999996,333.18,219,1.0,0.006131999999999999,330.38
August,3,16:30,89,0.0,0.0,304.74,284,5.0,0.018127,329.95,442,5.0,0.010575000000000001,343.14,222,4.0,0.019523000000000002,319.19
August,3,17:00,75,0.0,0.0,321.39,281,7.0,0.02547,337.37,411,1.0,0.0018659999999999996,341.61,210,0.0,0.0017619999999999997,328.79
August,3,17:30,69,0.0,0.0,299.75,265,7.0,0.027189,332.59,390,1.0,0.0021279999999999997,330.72,201,0.0,0.001975,321.77
August,3,18:00,54,0.0,0.0,326.11,249,5.0,0.021096,333.64,344,0.0,0.0,336.03,191,1.0,0.007470999999999999,313.38
August,3,18:30,45,0.0,0.0,307.3,218,11.0,0.052045999999999995,330.33,324,2.0,0.006259,332.9,174,0.0,0.0027470000000000003,313.47
August,3,19:00,36,0.0,0.0,311.62,196,9.0,0.04802,313.12,297,1.0,0.0037340000000000003,337.76,160,1.0,0.0032500000000000003,311.86
August,3,19:30,30,0.0,0.0,291.61,181,3.0,0.019099,339.45,263,1.0,0.004605,337.94,163,1.0,0.0031349999999999998,331.14
August,3,20:00,33,0.0,0.0,315.02,160,2.0,0.009500000000000001,328.6,247,1.0,0.005097,325.35,146,3.0,0.017548,325.23
August,3,20:30,26,0.0,0.0,320.58,142,2.0,0.011085000000000001,324.65,226,3.0,0.014699,331.81,135,1.0,0.004407,316.52
August,3,21:00,22,1.0,0.042455,302.79,130,2.0,0.012385,323.82,198,0.0,0.002051,331.83,102,2.0,0.016608,320.26
August,3,21:30,17,0.0,0.0,374.53,108,4.0,0.034037,334.02,168,1.0,0.008905,322.25,97,0.0,0.0,326.6
August,3,22:00,15,0.0,0.0,293.46,94,3.0,0.031915,340.02,147,1.0,0.006803,330.44,85,2.0,0.023529,325.85
August,3,22:30,15,1.0,0.066667,306.5,75,5.0,0.066667,315.35,134,3.0,0.022388,323.78,74,1.0,0.013514,319.43
August,3,23:00,9,1.0,0.111111,394.65,57,1.0,0.017544,278.55,102,1.0,0.009804,323.79,60,0.0,0.0,321.75
August,3,23:30,8,0.0,0.0,304.26,47,1.0,0.021277,296.22,84,1.0,0.011905,320.44,53,1.0,0.018868,349.67
August,4,0:00,5,0.0,0.0,365.29,25,3.0,0.12,351.11,60,1.0,0.016667,313.91,35,0.0,0.0,293.93
August,4,0:30,3,0.0,0.0,274.34,21,0.0,0.0,294.0,46,0.0,0.0,303.87,25,0.0,0.0,295.97
August,4,1:00,3,0.0,0.0,349.56,10,0.0,0.0,353.64,35,1.0,0.028571,303.83,17,0.0,0.0,322.75
August,4,1:30,1,0.0,0.0,300.61,6,0.0,0.0,346.58,25,1.0,0.04,325.2,14,0.0,0.0,305.54
August,4,2:00,2,0.0,0.0,394.63,5,0.0,0.0,249.77,16,1.0,0.0625,284.12,9,1.0,0.111111,292.24
August,4,2:30,2,0.0,0.0,223.6,5,0.0,0.0,288.4,16,2.0,0.125,349.56,9,1.0,0.111111,297.04
August,4,3:00,1,0.0,0.0,283.63,3,0.0,0.0,333.37,12,1.0,0.083333,311.91,6,1.0,0.166667,368.21
August,4,3:30,1,0.0,0.0,242.23,2,0.0,0.0,332.06,10,0.0,0.0,306.08,5,1.0,0.2,233.01
August,4,4:00,1,0.0,0.0,206.11,3,0.0,0.0,280.73,11,0.0,0.0,307.58,4,1.0,0.25,274.13
August,4,4:30,2,0.0,0.0,164.59,3,0.0,0.0,242.28,9,0.0,0.0,281.79,6,1.0,0.166667,195.2
August,4,5:00,1,0.0,0.0,262.12,1,0.0,0.0,281.06,12,0.0,0.0,324.39,5,0.0,0.0,276.45
August,4,5:30,1,0.0,0.0,208.66,4,0.0,0.0,247.64,15,1.0,0.066667,257.91,5,0.0,0.0,287.09
August,4,6:00,2,0.0,0.0,248.83,4,0.0,0.0,208.61,26,0.0,0.0,251.07,13,0.0,0.0,224.36
August,4,6:30,3,1.0,0.333333,206.88,6,2.0,0.333333,333.17,45,1.0,0.022222,287.43,20,1.0,0.05,233.72
August,4,7:00,9,0.0,0.0,209.28,26,0.0,0.0,253.6,81,0.0,0.0,242.35,37,0.0,0.0,254.91
August,4,7:30,13,0.0,0.0,297.66,43,2.0,0.046512,258.25,134,1.0,0.007463,252.81,60,1.0,0.016667,257.78
August,4,8:00,45,0.0,0.0,270.13,91,1.0,0.010989,262.37,272,2.0,0.007353,279.96,122,1.0,0.008197,254.93
August,4,8:30,85,1.0,0.011765,298.53,138,4.0,0.028986,280.87,428,2.0,0.004673,291.63,180,5.0,0.027778,268.46
August,4,9:00,137,1.0,0.007299,285.94,232,1.0,0.00431,287.16,604,4.0,0.006623,304.02,299,4.0,0.013378,274.37
August,4,9:30,183,1.0,0.005464,302.13,291,3.0,0.010309,299.39,776,23.0,0.029639,322.27,368,18.0,0.048913,287.84
August,4,10:00,218,0.0,0.0015869999999999999,307.22,384,3.0,0.007416999999999999,302.35,934,26.0,0.028049,320.78,446,16.0,0.035116999999999995,295.68
August,4,10:30,246,0.0,0.001065,294.22,427,20.0,0.04618,315.56,1046,41.0,0.039064999999999996,330.58,496,31.0,0.061516,298.68
August,4,11:00,253,0.0,0.0009529999999999999,303.88,488,7.0,0.013393000000000002,321.04,1140,20.0,0.017175,338.7,535,20.0,0.038120999999999995,302.82
August,4,11:30,266,0.0,0.0007590000000000001,312.38,504,13.0,0.026762,324.0,1146,30.0,0.025796,343.08,563,19.0,0.0343,303.25
August,4,12:00,260,1.0,0.004692,306.36,559,6.0,0.011311000000000002,318.22,1201,33.0,0.027808,339.7,599,23.0,0.038736,307.7
August,4,12:30,271,0.0,0.0006900000000000001,299.31,572,18.0,0.031965,327.03,1190,44.0,0.037335999999999994,341.69,606,33.0,0.054756,307.91
August,4,13:00,265,1.0,0.004547,298.37,576,6.0,0.010889,327.16,1175,17.0,0.014872,345.4,593,17.0,0.02904,311.5
August,4,13:30,264,1.0,0.004576,309.39,581,20.0,0.034865999999999994,317.62,1163,42.0,0.035692999999999996,352.1,603,23.0,0.038459,305.92
August,4,14:00,268,1.0,0.004463,308.97,614,22.0,0.036087999999999995,318.77,1196,42.0,0.035462,352.09,621,28.0,0.045308999999999995,302.01
August,4,14:30,278,5.0,0.018583000000000002,310.23,612,32.0,0.052556,321.41,1204,98.0,0.081718,351.85,641,65.0,0.101524,311.98
August,4,15:00,273,2.0,0.007989,306.56,609,17.0,0.028199000000000002,324.85,1206,43.0,0.035972,348.04,641,31.0,0.048482,309.35
August,4,15:30,288,1.0,0.003944,311.99,621,3.0,0.005052,321.4,1195,12.0,0.010388999999999999,353.96,619,21.0,0.034157,313.03
August,4,16:00,270,0.0,0.0007039999999999998,319.23,621,2.0,0.0034409999999999996,324.51,1200,4.0,0.003667,348.29,633,6.0,0.009638,318.76
August,4,16:30,269,0.0,0.0007169999999999998,307.13,609,9.0,0.015062000000000002,332.78,1164,5.0,0.0038729999999999997,351.02,617,13.0,0.021311,321.4
August,4,17:00,240,1.0,0.005333,315.09,581,3.0,0.005606000000000001,328.17,1096,9.0,0.007949000000000001,348.62,589,5.0,0.008885,324.28
August,4,17:30,223,0.0,0.001484,305.5,544,1.0,0.002515,332.48,1006,9.0,0.008927999999999998,351.19,549,14.0,0.026144,311.45
August,4,18:00,182,0.0,0.002495,298.13,492,4.0,0.007163,332.13,947,22.0,0.023399,348.55,500,2.0,0.005,317.86
August,4,18:30,163,1.0,0.0031349999999999998,318.51,462,7.0,0.014316000000000002,326.11,827,8.0,0.009092,352.13,438,2.0,0.003849,320.4
August,4,19:00,107,0.0,0.0,314.63,407,6.0,0.014199,332.95,723,10.0,0.013598000000000002,359.46,396,6.0,0.014676999999999999,304.46
August,4,19:30,86,1.0,0.008628,314.25,381,5.0,0.012748000000000002,314.89,657,16.0,0.024397000000000002,353.88,375,20.0,0.053,317.49
August,4,20:00,62,1.0,0.013129000000000002,304.51,337,9.0,0.026674,316.93,583,15.0,0.02616,353.9,324,16.0,0.049469,306.06
August,4,20:30,47,1.0,0.018277,310.12,274,3.0,0.011599000000000002,313.0,480,3.0,0.005333,344.05,274,6.0,0.022547,309.9
August,4,21:00,40,1.0,0.022000000000000002,314.69,226,3.0,0.014699,305.46,403,1.0,0.0019630000000000003,343.54,231,12.0,0.053277,305.41
August,4,21:30,30,1.0,0.030333000000000002,296.59,183,0.0,0.002464,317.23,349,0.0,0.0,334.68,189,2.0,0.012873000000000002,320.22
August,4,22:00,24,0.0,0.0,301.82,146,1.0,0.006849,303.44,266,2.0,0.007519,331.12,153,2.0,0.013072,308.42
August,4,22:30,15,3.0,0.2,316.86,114,1.0,0.008772,300.07,208,1.0,0.004808,322.45,131,1.0,0.007634,310.69
August,4,23:00,16,1.0,0.0625,291.66,83,1.0,0.012048,278.79,163,1.0,0.006135,315.15,106,2.0,0.018868,322.96
August,4,23:30,11,0.0,0.0,313.31,64,0.0,0.0,278.82,121,0.0,0.0,332.7,75,1.0,0.013333,301.74
August,5,0:00,5,0.0,0.0,315.53,37,0.0,0.0,287.29,81,0.0,0.0,312.58,50,1.0,0.02,292.41
August,5,0:30,5,0.0,0.0,247.84,28,0.0,0.0,287.51,57,0.0,0.0,314.63,36,0.0,0.0,318.53
