,A,B,C,D
5/19/25,91,14,470,182
5/20/25,83,13,463,184
5/21/25,75,12,426,179
5/22/25,74,12,396,148
5/23/25,78,11,391,144
5/24/25,54,8,275,118
5/25/25,35,4,216,89
5/26/25,87,12,454,181
5/27/25,80,13,461,185
5/28/25,71,11,420,180
5/29/25,75,13,401,146
5/30/25,81,11,391,148
5/31/25,58,7,287,114
6/1/25,33,57,197,86
6/2/25,85,122,444,172
6/3/25,82,114,430,175
6/4/25,73,117,400,170
6/5/25,72,110,370,137
6/6/25,77,103,357,126
6/7/25,53,67,254,111
6/8/25,32,58,188,86
6/9/25,88,119,444,156
6/10/25,81,113,432,163
6/11/25,71,114,397,159
6/12/25,73,113,381,129
6/13/25,77,103,372,133
6/14/25,55,70,273,98
6/15/25,33,54,204,81
6/16/25,91,132,451,163
6/17/25,86,122,439,166
6/18/25,75,122,408,157
6/19/25,71,120,383,131
6/20/25,75,109,380,122
6/21/25,52,73,259,106
6/22/25,30,62,203,82
6/23/25,94,130,450,157
6/24/25,83,119,439,164
6/25/25,71,121,404,162
6/26/25,73,115,386,129
6/27/25,83,107,374,134
6/28/25,59,80,275,102
6/29/25,38,64,213,80
6/30/25,92,14,455,162
7/1/25,83,115,425,155
7/2/25,69,114,401,147
7/3/25,73,,,129
7/4/25,43,,,119
7/5/25,51,,,100
7/6/25,31,,,75
7/7/25,91,,,152
7/8/25,84,121,434,156
7/9/25,72,126,399,154
7/10/25,75,116,376,125
7/11/25,82,106,368,130
7/12/25,56,83,267,93
7/13/25,36,60,205,76
7/14/25,89,129,448,156
7/15/25,81,118,435,156
7/16/25,73,121,410,150
7/17/25,74,114,380,126
7/18/25,76,106,378,120
7/19/25,51,71,257,101
7/20/25,35,60,202,78
7/21/25,88,128,445,153
7/22/25,81,115,434,157
7/23/25,70,119,400,154
7/24/25,73,112,378,125
7/25/25,81,102,370,131
7/26/25,59,78,267,94
7/27/25,37,63,208,77
7/28/25,90,128,449,156
7/29/25,83,117,437,157
7/30/25,75,121,407,149
7/31/25,65,109,329,128
8/1/25,71,101,314,120
8/2/25,54,63,225,96
8/3/25,38,51,167,78
8/4/25,81,119,393,149
8/5/25,74,112,386,153
8/6/25,64,116,359,151
8/7/25,67,109,342,123
8/8/25,76,97,327,126
8/9/25,49,78,220,91
8/10/25,33,54,171,84
8/11/25,82,119,407,135
8/12/25,80,115,395,136
8/13/25,69,114,383,133
8/14/25,69,108,352,114
8/15/25,69,99,334,104
8/16/25,48,63,221,86
8/17/25,31,57,170,65
8/18/25,83,78,398,153
8/19/25,76,72,390,153
8/20/25,64,61,367,154
8/21/25,71,63,355,126
8/22/25,79,74,323,122
8/23/25,51,49,236,93
8/24/25,35,32,180,79
8/25/25,45,75,412,159
8/26/25,38,73,393,158
8/27/25,35,62,369,144
8/28/25,41,63,342,119
8/29/25,34,65,327,113
8/30/25,22,46,206,95
8/31/25,22,26,174,74
9/1/25,66,79,316,87
9/2/25,78,127,392,168
9/3/25,61,121,360,153
9/4/25,61,104,345,138
9/5/25,70,91,322,133
9/6/25,47,72,223,116
9/7/25,30,55,163,87
9/8/25,67,117,392,148
9/9/25,76,111,386,151
9/10/25,67,115,367,139
9/11/25,65,109,337,119
9/12/25,68,,321,112
9/13/25,44,,219,86
9/14/25,29,,166,72
9/15/25,80,119,388,154
9/16/25,69,110,382,156
9/17/25,60,114,353,148
9/18/25,69,109,,
9/19/25,69,96,,
9/20/25,47,73,,
9/21/25,33,58,,
9/22/25,76,121,,
9/23/25,72,114,,
9/24/25,65,117,,
9/25/25,66,110,333,129
9/26/25,69,96,324,125
9/27/25,48,66,216,102
9/28/25,33,56,163,83
9/29/25,77,109,345,145
9/30/25,71,108,350,151
10/1/25,60,113,326,147
10/2/25,61,105,320,123
10/3/25,71,91,305,120
10/4/25,48,72,192,88
10/5/25,30,56,156,86
10/6/25,79,119,368,153
10/7/25,74,111,356,155
10/8/25,66,112,340,143
10/9/25,67,106,315,118
10/10/25,68,103,312,120
10/11/25,47,65,192,92
10/12/25,27,51,148,78
10/13/25,76,116,365,149
10/14/25,70,105,358,154
10/15/25,61,110,328,147
10/16/25,64,105,314,119
10/17/25,75,94,296,121
10/18/25,50,76,203,93
10/19/25,32,53,163,83
10/20/25,81,12,367,152
10/21/25,76,12,357,152
10/22/25,67,13,342,141
10/23/25,65,12,320,124
10/24/25,70,11,309,124
10/25/25,47,11,197,97
10/26/25,29,5,159,81
10/27/25,81,12,366,152
10/28/25,71,12,357,157
10/29/25,61,13,334,149
10/30/25,63,13,312,123
10/31/25,73,10,302,129
11/1/25,45,73,207,99
11/2/25,30,50,162,91
11/3/25,74,107,377,165
11/4/25,70,102,366,166
11/5/25,67,105,351,154
11/6/25,63,98,322,137
11/7/25,61,97,325,130
11/8/25,41,64,198,97
11/9/25,27,53,159,84
11/10/25,74,111,380,160
11/11/25,61,103,371,168
11/12/25,59,105,328,164
11/13/25,57,99,312,134
11/14/25,67,90,304,134
11/15/25,45,70,210,100
11/16/25,,,,
11/17/25,,,,
11/18/25,,,,
11/19/25,,,,
11/20/25,,,,
11/21/25,,,,
11/22/25,,,,
11/23/25,,,,
11/24/25,,,,
11/25/25,,,,
11/26/25,,,,
11/27/25,55,94,274,130
11/28/25,69,95,313,140
11/29/25,48,73,219,103
11/30/25,32,56,168,96
12/1/25,79,116,377,170
12/2/25,72,107,357,171
12/3/25,67,108,342,162
12/4/25,67,103,312,140
12/5/25,67,94,308,133
12/6/25,45,63,196,101
12/7/25,27,53,159,90
12/8/25,79,116,375,167
12/9/25,68,104,359,169
12/10/25,62,104,327,164
12/11/25,63,99,313,134
12/12/25,68,87,302,136
12/13/25,48,70,202,99
12/14/25,31,50,161,92
12/15/25,76,107,361,169
12/16/25,69,102,346,169
12/17/25,65,105,334,158
12/18/25,,,308,136
12/19/25,,,302,128
12/20/25,,,193,101
12/21/25,,,151,88
12/22/25,,,344,159
12/23/25,,,332,164
12/24/25,58,107,308,162
12/25/25,60,102,268,135
12/26/25,63,86,284,129
12/27/25,44,68,196,95
12/28/25,30,51,,
12/29/25,75,106,,
12/30/25,71,108,,
12/31/25,64,109,,
